ImageName	SEF_B0	SEF_B1	SEF_B2	SEF_B3	SEF_B4	SEF_M0	SEF_M1	SEF_M2	SEF_M3	SEF_M4	MCT_B0	MCT_B1	MCT_B2	MCT_B3	MCT_B4	MCT_M0	MCT_M1	MCT_M2	MCT_M3	MCT_M4	EDG_B0	EDG_B1	EDG_B2	EDG_B3	EDG_B4	EDG_M0	EDG_M1	EDG_M2	EDG_M3	EDG_M4	CEN_B0	CEN_B1	CEN_B2	CEN_B3	CEN_B4	CEN_M0	CEN_M1	CEN_M2	CEN_M3	CEN_M4	NEC_B0	NEC_B1	NEC_B2	NEC_B3	NEC_B4	NEC_M0	NEC_M1	NEC_M2	NEC_M3	NEC_M4
AAC1	0.0006986190476190477	0.014660148148148146	0.011821611111111113	0.014291111111111109	0.019916421052631573	0.0068500952380952385	0.01797192592592593	0.02064461111111111	0.01768502777777778	0.016058473684210525	0.01130495238095238	0.03140837037037037	0.03290216666666667	0.04094780555555555	0.04669447368421052	0.032415761904761906	0.050060074074074076	0.044504999999999996	0.04484122222222223	0.04054865789473684	-0.021092952380952382	-0.04935207407407408	-0.052392888888888885	-0.05898022222222224	-0.06658923684210527	-0.046047000000000005	-0.07449355555555555	-0.06649011111111111	-0.07035316666666665	-0.06042118421052631	0.015232238095238096	0.036735666666666666	0.04114388888888889	0.046969111111111114	0.05095252631578948	0.03478133333333334	0.05484362962962964	0.04571472222222222	0.04831291666666667	0.045136921052631576	0.013107238095238095	0.017822296296296294	0.03669494444444444	0.01885097222222222	0.011511552631578948	0.007854809523809524	0.016737074074074074	0.017891055555555556	0.012147055555555555	0.02118286842105263
AAC3	0.009156033333333334	0.0112125	0.01350917857142857	0.016863270270270275	0.022953604166666666	0.02266876666666667	0.020114954545454547	0.014803499999999999	0.01655575675675676	0.019483645833333334	0.034730366666666665	0.024423272727272727	0.038504892857142856	0.04739143243243244	0.05320041666666667	0.05564356666666667	0.047801863636363635	0.043041071428571435	0.046671891891891894	0.04846966666666667	-0.047073666666666666	-0.04476509090909091	-0.06020096428571429	-0.07079416216216217	-0.07551583333333334	-0.08154663333333335	-0.07544413636363635	-0.06804167857142857	-0.07362045945945947	-0.073766875	0.034743333333333334	0.032257272727272725	0.04636110714285715	0.05436648648648648	0.059516875000000004	0.061381966666666656	0.05405486363636363	0.047849571428571436	0.0506104054054054	0.05277910416666667	0.0296856	0.01553318181818182	0.03719107142857143	0.015392432432432433	0.02960785416666667	0.017705000000000002	0.011789454545454547	0.014917250000000002	0.011024135135135137	0.016136833333333333
AAH1	-0.03056876923076923	-0.025826473684210524	-0.027877066666666672	-0.028309277777777777	-0.025730636363636362	-0.017605846153846152	-0.020359526315789477	-0.0219024	-0.020796888888888886	-0.015864363636363635	-0.032074384615384616	-0.03237394736842105	-0.03515346666666667	-0.035324555555555553	-0.03592127272727273	-0.02120415384615385	-0.02830878947368421	-0.02717933333333334	-0.02691388888888889	-0.023985999999999997	0.028215230769230774	0.02960457894736842	0.03419553333333334	0.03431694444444444	0.03430763636363637	0.022819076923076925	0.02713368421052632	0.02796493333333333	0.028105833333333337	0.02028718181818182	-0.026013769230769233	-0.024946052631578945	-0.027540533333333336	-0.028388444444444452	-0.027588818181818183	-0.017663692307692304	-0.02212142105263158	-0.02140313333333333	-0.022512777777777777	-0.016529454545454545	-0.011467923076923073	-0.01567084210526316	-0.016080733333333333	-0.00811866666666667	-0.01927509090909091	-0.010964999999999999	-0.011745473684210526	-0.004900133333333332	-0.01112	-0.017201454545454548
AAP1	-0.025708039999999998	-0.025048909090909087	-0.029531666666666664	-0.033625999999999996	-0.03127866666666667	-0.01839408	-0.017523727272727274	-0.02749126666666667	-0.022414041666666672	-0.02139975	-0.030866040000000004	-0.03578618181818182	-0.03459213333333334	-0.045778958333333335	-0.042813416666666666	-0.024088080000000005	-0.027777636363636362	-0.0315232	-0.027217083333333333	-0.026188194444444444	0.0205078	0.03116518181818182	0.036388199999999996	0.039080750000000004	0.03524272222222222	0.024222039999999997	0.028165545454545457	0.028664133333333338	0.024536583333333334	0.01995436111111111	-0.0182192	-0.024860181818181823	-0.023782800000000007	-0.03278695833333333	-0.030001972222222215	-0.0182082	-0.022472545454545453	-0.021105000000000002	-0.018759083333333332	-0.015787888888888893	-0.01661292	-0.01552336363636364	-0.0024892000000000013	-0.015428125	-0.024783777777777783	-0.011172280000000001	0.001899	-0.024398000000000006	-0.008380875000000001	-0.001884555555555555
AAR2	0.0013215666666666667	0.005374375000000001	0.005572521739130435	0.009308153846153844	0.015452896551724138	0.009740733333333333	0.009191291666666667	0.006245434782608695	0.005760538461538461	0.012640241379310344	0.0241056	0.02663916666666667	0.024338304347826085	0.03171976923076923	0.04587893103448276	0.0280154	0.0294705	0.02123030434782609	0.02295576923076923	0.036114586206896546	-0.03027503333333333	-0.03375729166666667	-0.0320948695652174	-0.04601784615384616	-0.06448286206896552	-0.0408948	-0.04322070833333334	-0.03471008695652173	-0.037286999999999994	-0.05184627586206896	0.024361066666666667	0.02648758333333334	0.024321782608695653	0.03225880769230769	0.04696727586206896	0.02914056666666667	0.030582333333333333	0.022740521739130434	0.02440384615384615	0.036513931034482756	0.014101033333333336	0.021519499999999997	0.013021173913043476	0.015524346153846154	0.014273517241379314	0.00016030000000000108	0.013182125000000001	0.003367739130434782	0.0027030384615384607	0.017320344827586206
AAT1	-0.011665923076923075	-0.039515277777777774	-0.03799342857142857	-0.02221907407407407	-0.020682088888888884	-0.025020384615384614	-0.008064944444444444	-0.0020053333333333342	0.0015358148148148147	-0.004463711111111111	-0.002619384615384616	-0.059686388888888886	-0.042815380952380945	-0.014866888888888888	-0.00586797777777778	-0.01722453846153846	0.015584111111111113	0.011636523809523808	0.022292814814814814	0.017437755555555552	-0.033477230769230766	0.021365999999999996	-0.0033934285714285724	-0.034787296296296295	-0.030946599999999998	-0.01877496153846154	-0.04497405555555556	-0.04708466666666667	-0.08643551851851851	-0.07027837777777778	0.026055307692307687	-0.02288272222222222	-0.006785190476190475	0.02918962962962963	0.03079788888888889	0.012249653846153848	0.035724000000000006	0.03414233333333333	0.05847062962962963	0.05039086666666666	-0.014989923076923076	0.012183777777777778	0.029583238095238096	0.03473874074074074	0.036432533333333336	-0.004698346153846154	4.633333333333418e-05	0.020120761904761905	0.012665074074074072	0.014093333333333333
ABC1	0.011894857142857143	-0.0194855	-0.012237599999999998	-0.010020473684210525	-0.0052873888888888875	-0.004876142857142857	0.0093062	-0.001895899999999999	-0.0016654210526315793	-0.00268488888888889	0.044108714285714286	-0.0257737	-0.004577599999999999	-0.003430263157894741	0.025847666666666668	-0.0022008571428571424	0.0263467	0.023596899999999997	0.02246321052631579	0.012285333333333332	-0.09044785714285715	-0.00863	-0.0415448	-0.030936473684210528	-0.05583072222222223	-0.028134142857142858	-0.0700874	-0.06620020000000001	-0.046754894736842106	-0.06385422222222223	0.062193	0.009848600000000002	0.028489900000000002	0.02589668421052632	0.04273205555555556	0.03415128571428572	0.056709199999999994	0.0497584	0.03635778947368422	0.04662588888888888	-0.01438942857142857	0.004904	0.0374973	0.02956752631578947	0.011652	-0.005026571428571426	0.011226900000000001	0.008933600000000003	0.013928473684210524	0.021062444444444446
ABD1	0.0011989102564102566	0.0029762191780821927	-0.03916092592592593	-0.07461719565217392	-0.08602432989690721	-0.07657073076923077	-0.10015594520547946	-0.07540535185185186	-0.0903883804347826	-0.09271221649484535	0.02782916666666667	0.020520684931506848	-0.07624514814814816	-0.14890439130434782	-0.16820157731958765	-0.14388606410256413	-0.1785784383561644	-0.15367042592592595	-0.1777044782608696	-0.18183841237113404	-0.03700269230769231	-0.047367684931506844	0.03067462962962963	0.10724236956521739	0.11562844329896906	0.07851701282051281	0.0984397397260274	0.10061183333333333	0.1201686847826087	0.10041215463917526	0.027477858974358973	0.032329986301369865	-0.03376648148148148	-0.10182923913043478	-0.10854158762886598	-0.07395665384615387	-0.08014565753424659	-0.08303094444444446	-0.10520530434782607	-0.08759572164948455	0.01909276923076923	0.00772086301369863	-0.021125296296296295	-0.004654858695652175	-0.021875546391752577	-0.05049292307692307	-0.08632542465753425	-0.04745637037037037	-0.018732010869565222	-0.07148871134020618
ABF1	-0.002614769230769231	-0.00348175	-0.12413714705882353	-0.17483220370370367	-0.13995090909090907	-0.11843864102564104	-0.1527971875	-0.1388250294117647	-0.14974314814814813	-0.14670507272727273	0.018978666666666665	0.014044093750000004	-0.23535155882352943	-0.3147232037037036	-0.27320890909090906	-0.2360458205128204	-0.30415400000000004	-0.26587570588235293	-0.28900488888888887	-0.2810624727272727	-0.03256517948717949	-0.0394680625	0.13689973529411767	0.18079575925925925	0.1619915818181818	0.13266694871794874	0.147387375	0.1574650294117647	0.180008537037037	0.16354072727272728	0.022487871794871796	0.031236406249999998	-0.14560570588235297	-0.18272240740740744	-0.15815950909090912	-0.1156300512820513	-0.13280609375	-0.13551691176470584	-0.16801722222222223	-0.14608936363636363	0.008057538461538461	-0.011701687500000002	-0.023421117647058825	-0.034956666666666664	-0.030996272727272733	-0.0741068205128205	-0.172326	-0.05420388235294118	-0.05441564814814814	-0.0617584909090909
ABF2	-0.060658666666666666	-0.05680225	-0.08971605	-0.054824874999999995	-0.05280928124999999	-0.04473055555555556	-0.0319404375	-0.03564880000000001	-0.068728125	-0.019310156250000002	-0.12049499999999999	-0.085964625	-0.1175683	-0.09564387499999999	-0.0752856875	-0.07738488888888889	-0.0164913125	-0.04764890000000001	-0.059021875	0.0019227187500000017	0.03384033333333333	0.0578845	0.02432065	0.008760437499999999	0.006487968749999998	-0.032516888888888894	-0.0269505625	-0.0080848	-0.016584625000000002	-0.0517674375	-0.04398811111111111	-0.03252775	-0.0047547999999999965	-0.000806625	0.0012885312499999989	0.018764222222222224	0.023153437500000002	0.01728215	0.0201725	0.039245125	-0.0701141111111111	0.0173854375	0.03307125	0.0444400625	0.029545750000000003	0.005756666666666667	-0.014847187500000001	-0.0095558	0.0006750624999999968	0.01576021875
