ImageName	SEF_B0	SEF_B1	SEF_B2	SEF_B3	SEF_B4	SEF_M0	SEF_M1	SEF_M2	SEF_M3	SEF_M4	MCT_B0	MCT_B1	MCT_B2	MCT_B3	MCT_B4	MCT_M0	MCT_M1	MCT_M2	MCT_M3	MCT_M4	EDG_B0	EDG_B1	EDG_B2	EDG_B3	EDG_B4	EDG_M0	EDG_M1	EDG_M2	EDG_M3	EDG_M4	CEN_B0	CEN_B1	CEN_B2	CEN_B3	CEN_B4	CEN_M0	CEN_M1	CEN_M2	CEN_M3	CEN_M4	NEC_B0	NEC_B1	NEC_B2	NEC_B3	NEC_B4	NEC_M0	NEC_M1	NEC_M2	NEC_M3	NEC_M4
AAC1	-0.002052918918918919	-0.0005731999999999994	0.012129500000000001	0.005639466666666666	0.013458216666666665	0.01625808108108108	0.008838799999999999	0.015159875	0.015889866666666665	0.0149968	0.02261827027027027	0.0326008	0.0473585	0.0331034	0.053026866666666665	0.05619789189189189	0.0396412	0.05257175	0.053147866666666675	0.05595781666666667	-0.025165864864864867	-0.0405648	-0.05847675	-0.05463033333333334	-0.08163608333333333	-0.08215945945945947	-0.0566744	-0.076607	-0.08317953333333333	-0.08663403333333335	0.019356756756756754	0.0358671	0.0488175	0.04181706666666666	0.060667950000000005	0.061705540540540525	0.0455664	0.055647375	0.05772826666666666	0.06192921666666666	0.04308775675675676	-0.0016063999999999996	0.02392275	0.03202813333333333	0.029312083333333336	-0.0065549999999999975	0.0290148	0.035274625	-0.0027025333333333345	0.0008366166666666662
AAC3	-0.0008671818181818179	0.003921	-0.022593000000000002	0.012440777777777778	0.008744882352941175	0.009190763636363635	0.019869666666666667	0.008019	0.017370555555555556	0.01233408823529412	0.02922630909090909	0.03349055555555555	-0.019875399999999994	0.04709905555555556	0.05082455882352941	0.04163427272727273	0.05614333333333332	0.05391939999999999	0.05368411111111111	0.05596805882352942	-0.029863563636363635	-0.04879944444444444	-0.006404999999999999	-0.07874722222222223	-0.08263385294117646	-0.06689990909090908	-0.07449888888888889	-0.07786	-0.08413733333333334	-0.09049008823529411	0.0267308	0.041487444444444445	0.004308800000000001	0.05739311111111112	0.06151014705882353	0.04952770909090908	0.057607222222222226	0.0580518	0.06059400000000001	0.0651475588235294	0.03666961818181818	0.03290766666666667	0.004265200000000001	0.009466777777777777	0.038369705882352945	0.005523927272727272	0.005663999999999999	0.023849000000000002	0.004255277777777777	-0.004339882352941177
AAH1	-0.023708609756097558	-0.014259222222222222	-0.011553666666666669	-0.01534872727272727	-0.00947058536585366	-0.013223707317073171	-0.0031488888888888894	-0.001222666666666667	-0.013972999999999998	-0.012106365853658537	-0.021389658536585365	-0.009404333333333336	-0.02383233333333334	-0.020550181818181818	-0.008801121951219511	-0.013036268292682928	0.003618222222222223	-0.013877	-0.015845727272727272	-0.015592756097560972	0.0025256341463414634	-0.004336333333333332	0.018936833333333333	0.01753790909090909	0.0019348292682926824	0.008738195121951222	-0.011452555555555556	0.0133485	0.012773000000000001	0.01015621951219512	-0.006787756097560976	-0.0001539999999999998	-0.016310333333333333	-0.016045818181818182	-0.0035264878048780492	-0.008316756097560975	0.009069777777777779	-0.010048	-0.010118545454545453	-0.009089219512195122	-0.0224040243902439	-0.0016401111111111115	-0.00990533333333333	-0.0014088181818181819	-0.002434487804878048	-0.009976463414634148	-0.008702666666666668	3.833333333333698e-06	-0.006933090909090909	-0.012355609756097561
AAP1	-0.036099823008849556	-0.022335894736842103	-0.03223125	-0.036283066666666676	-0.028725500000000005	-0.028935619469026546	-0.02501415789473684	-0.0345655	-0.031398666666666665	-0.025218396551724132	-0.02969225663716814	-0.011832473684210525	-0.018322875	-0.0317908	-0.02380541379310345	-0.020937256637168146	-0.020390105263157897	-0.021185625	-0.0252598	-0.017192224137931034	-0.002141132743362832	-0.017539	-0.0035832499999999996	0.0224974	0.012515517241379311	0.007941504424778761	0.009100526315789472	0.010019375	0.0159336	0.009461	-0.0019925221238938054	0.01316678947368421	0.005195000000000001	-0.01647526666666667	-0.011600034482758622	-0.00872416814159292	-0.008295210526315789	-0.0064034999999999995	-0.013519599999999998	-0.00872805172413793	-0.01749380530973451	-0.016232894736842102	0.034250375	-0.005912133333333336	-0.008675275862068968	-0.014895008849557521	-0.017228947368421055	-0.044662875000000005	-0.019758266666666666	-0.01151593103448276
AAR2	0.006762333333333333	0.013471833333333334	-0.0038575	0.010814833333333334	0.01726358064516129	0.013231363636363638	0.007101166666666668	-0.003109	0.014481166666666665	0.015721967741935485	0.038583787878787884	0.041853166666666664	0.004688	0.031103166666666668	0.051893870967741944	0.040350666666666674	0.026544833333333333	0.006135	0.0454465	0.044517516129032264	-0.03749218181818181	-0.050345999999999995	-0.012031	-0.03879866666666667	-0.06483819354838709	-0.05623327272727272	-0.035196000000000005	-0.013222500000000002	-0.0648985	-0.06167438709677419	0.03181506060606061	0.040024833333333336	0.006384000000000001	0.03163716666666667	0.05062290322580645	0.0413019090909091	0.027539666666666667	0.0075049999999999995	0.046435333333333335	0.04481380645161291	0.03823390909090909	0.008874833333333334	0.0107925	0.0249935	0.020012096774193546	-0.0017398181818181816	0.0037129999999999993	-0.010711499999999999	0.0172185	0.011318709677419355
AAT1	-0.018270462686567162	-0.023347099999999992	-0.014911285714285712	-0.05917361538461538	-0.008471236842105264	-0.0016200447761194035	0.013039100000000001	0.016429142857142857	-0.009934384615384616	0.00031260526315789476	-0.016149671641791048	-0.0390515	-0.007230142857142854	-0.08377053846153845	-0.009821473684210524	0.021513029850746268	0.032134300000000005	0.04038228571428571	-0.005183538461538461	0.01783405263157895	-0.03954622388059702	-0.0296168	0.001280285714285716	0.0003476153846153832	-0.04198528947368422	-0.07843495522388058	-0.1060543	-0.07656214285714284	-0.045195999999999986	-0.07926486842105263	0.024268611940298505	0.010789799999999999	0.004717142857142856	-0.0030119999999999965	0.02857544736842105	0.053486895522388056	0.07181389999999999	0.05258814285714286	0.034873769230769236	0.053600184210526314	-0.04128192537313432	-0.0445476	0.062262142857142856	-0.01383161538461538	0.010303342105263158	-0.018273701492537316	-0.03407189999999999	0.040628142857142856	-0.021386923076923067	-0.026063315789473684
ABC1	-0.01574490322580645	-0.0560285	-0.011844571428571427	-0.02521850000000001	-0.009625777777777778	-0.005541258064516128	-0.034769666666666664	-0.008524857142857145	-0.014218833333333333	-0.007796888888888889	-0.005820774193548385	-0.07504499999999999	0.0059981428571428555	-0.007318666666666663	0.01213538888888889	0.01590441935483871	-0.013092500000000002	0.02107357142857143	0.0161825	0.02480786111111111	-0.029279193548387098	-0.020245333333333327	-0.021936571428571423	-0.04355016666666667	-0.06838211111111112	-0.057992741935483864	-0.05929816666666668	-0.054341285714285724	-0.09402383333333332	-0.08135897222222223	0.01660416129032258	-0.02485533333333333	0.023035714285714288	0.030763583333333334	0.05040491666666667	0.045338032258064515	0.054969666666666674	0.03379214285714286	0.062691	0.05690311111111111	-0.008973258064516128	-0.03536883333333334	0.03821071428571428	-0.008617916666666663	0.0005914444444444446	-0.017281096774193552	0.02813216666666667	0.004816714285714286	-0.02540258333333334	-0.035277444444444445
ABD1	0.005406823529411765	0.002501200000000001	-0.017256833333333336	-0.065715875	-0.05391207547169811	-0.05621778991596638	-0.0678684	-0.0370035	-0.056340999999999995	-0.07141250943396227	0.03457533613445378	0.02061086666666667	-0.03407683333333333	-0.12494293750000002	-0.1182944905660377	-0.12163134453781511	-0.10870679999999998	-0.09061633333333331	-0.13714381250000002	-0.13567783018867927	-0.04767643697478991	-0.07048566666666667	-0.03652283333333333	0.076832125	0.06562879245283018	0.041237361344537815	0.020422199999999998	0.016652833333333335	0.08571556250000001	0.06473811320754717	0.03697825210084034	0.04194620000000001	0.011271333333333335	-0.07202481250000001	-0.06041333962264152	-0.04077410084033614	-0.028883200000000005	-0.018547833333333333	-0.079277625	-0.06157015094339624	0.026348588235294124	0.0070674	-0.0034033333333333324	-0.03672525	-0.009814547169811325	-0.09982163025210085	-0.1001482	-0.09123416666666666	-0.057073437500000004	-0.07638590566037735
ABF1	0.0013767058823529416	-0.007699333333333337	-0.12174549999999999	-0.17810722222222225	-0.22071108000000003	-0.1971837647058823	-0.1193135	-0.1835055	-0.21150133333333335	-0.18846612000000001	0.03921807843137255	0.026725833333333338	-0.20058700000000002	-0.2826252222222222	-0.37547896000000003	-0.35414660784313723	-0.23615316666666666	-0.347736	-0.3777271111111112	-0.32497168000000004	-0.059809725490196086	-0.07778333333333333	-0.10968399999999999	0.09523855555555555	0.13589576	0.1456129411764706	0.11789616666666665	0.118321	0.12381688888888889	0.13163436	0.04999152941176471	0.0554705	0.054186	-0.13007077777777779	-0.1711298	-0.1656762156862745	-0.157069	-0.124392	-0.17239055555555555	-0.15016448000000002	0.03236309803921569	-0.05299449999999999	-0.154335	-0.09454544444444445	-0.10095756	-0.14533258823529413	-0.09800783333333334	-0.08403649999999999	-0.21907644444444446	-0.08971708000000002
ABF2	-0.12194249655172416	-0.12165610526315791	-0.06103566666666666	-0.11059400000000001	-0.08812961016949153	-0.05903084137931034	-0.040507210526315784	-0.032780166666666666	-0.08755574999999999	-0.04833498305084746	-0.1971324551724138	-0.22555331578947369	-0.06554116666666666	-0.185752	-0.1469854745762712	-0.07660701379310345	-0.039369894736842104	-0.0142795	-0.07003675	-0.04681164406779661	-0.058624179310344825	0.03540642105263158	-0.020638833333333325	0.088731	0.011901881355932203	-0.0398706	-0.06392594736842105	-0.08239516666666667	-0.0655835	-0.05302799999999999	0.016273986206896553	-0.047392894736842106	0.004087666666666666	-0.08513108333333332	-0.009327169491525424	0.024346799999999995	0.047376052631578944	0.0559935	0.03613241666666667	0.03535738983050848	-0.13448521379310344	-0.1499602105263158	-0.0005263333333333323	-0.051961333333333325	-0.003650610169491523	-0.02806030344827586	-0.029590421052631585	-0.04197583333333332	-0.07969233333333332	-0.01228742372881356
